客戶寶號,客戶代號,縣市,地址,郵遞區號,聯絡人,職稱,電話,行業別,統一編號
九和汽車股份有限公司,A0001,台中市,西屯區工業區12路5號,407,陳勳森,採購專員,04-7081881,機械,86281373
遠東氣體工業股份公司,A0002,台北市,北投區承德路7段371-1號,100,謝裕民,行政專員,02-7752450,機械,04675569
諾貝爾生物有限公司,A0003,台北市,松山區敦化北路122號3樓,105,翁崇銘,工程師,02-9015105,機械,22039731
有萬貿易股份有限公司,A0004,台北市,復興北路57號5樓,108,郭淑玲,行政專員,02-1879991,食品,85800192
真正精機股份有限公司,A0005,台南縣,歸仁鄉南興村中山路851號,720,廖述宏,工程師,06-8792123,建築,12231596
東興振業股份有限公司,A0006,台南縣,麻豆鎮小埤里苓子林8-12號,710,黃清吉,總務主任,06-4588455,電機,04735004
漢寶農畜產企業公司,A0007,台中市,西屯區台中工業區工業五路3號,407,林慶文,工程師,04-7613571,電子,07406808
大喬機械公司,A0008,台中縣,烏日鄉中山路三段6號,414,張君暉,工程師,04-2552171,機械,11222009
達亞汽車股份有限公司,A0009,台北市,大安區復興南路一段390號5樓之3,106,蔣清池,總務主任,02-2301212,電子,61781463
台灣航空電子股份公司,A0010,台北市,大安區敦化南路一段223號8樓,106,劉瑞復,工程師,02-7721320,貿易,97513218
洽興金屬工業股份公司,A0011,台北市,中山北路三段22號,104,梁文雄,工程師,02-2514474,機械,52003703
新益機械工廠股份公司,A0012,台北市,中山區松江路293號805室,111,林金源,採購專員,02-9991061,機械,03807628
天源義記機械股份公司,A0013,台北市,中山區南京東路3段65號2樓,104,陳幼獅,行政專員,02-7174500,資訊,79854797
家鄉事業股份有限公司,A0014,台北市,中正區博愛路154號6-7樓,104,林添財,主任,02-9179261,機械,11081681
四維企業(股)公司,A0015,台北市,中正區懷寧街43號6樓,100,張國萬,採購專員,02-6668541,電子,11099303
永輝興電機工業股份公司,A0016,台北市,忠孝東路四段285號13樓,103,陳世棟,採購專員,02-7195800,機械,22956788
